Symbol,Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
ETH-USD,"May 7, 2025","1,816.73","1,846.43","1,813.80","1,813.80","1,813.80","17,966,127,104"
ETH-USD,"May 6, 2025","1,819.73","1,820.80","1,753.32","1,815.09","1,815.09","13,206,516,310"
ETH-USD,"May 5, 2025","1,808.70","1,832.05","1,783.31","1,819.70","1,819.70","11,389,336,489"
ETH-USD,"May 4, 2025","1,833.65","1,850.00","1,804.50","1,808.59","1,808.59","8,918,979,887"
ETH-USD,"May 3, 2025","1,842.72","1,848.25","1,812.82","1,833.84","1,833.84","8,344,452,620"
ETH-USD,"May 2, 2025","1,839.17","1,869.53","1,814.73","1,842.71","1,842.71","13,570,171,872"
ETH-USD,"May 1, 2025","1,794.04","1,872.94","1,793.15","1,839.22","1,839.22","15,861,442,721"
ETH-USD,"Apr 30, 2025","1,799.21","1,816.69","1,736.14","1,793.78","1,793.78","14,810,431,362"
ETH-USD,"Apr 29, 2025","1,798.91","1,842.03","1,782.28","1,799.18","1,799.18","14,734,257,744"
ETH-USD,"Apr 28, 2025","1,792.45","1,827.48","1,747.73","1,798.85","1,798.85","17,043,640,437"
ETH-USD,"Apr 27, 2025","1,822.18","1,856.44","1,785.90","1,792.86","1,792.86","11,321,944,113"
ETH-USD,"Apr 26, 2025","1,786.53","1,839.36","1,781.47","1,821.88","1,821.88","11,926,379,867"
ETH-USD,"Apr 25, 2025","1,770.00","1,826.70","1,740.33","1,786.63","1,786.63","17,459,399,281"
ETH-USD,"Apr 24, 2025","1,795.98","1,801.69","1,724.74","1,769.83","1,769.83","15,207,402,759"
ETH-USD,"Apr 23, 2025","1,757.20","1,829.71","1,746.92","1,796.10","1,796.10","22,904,644,756"
ETH-USD,"Apr 22, 2025","1,579.82","1,773.64","1,542.00","1,757.33","1,757.33","23,747,917,555"
ETH-USD,"Apr 21, 2025","1,587.46","1,656.12","1,566.15","1,579.73","1,579.73","15,403,785,611"
ETH-USD,"Apr 20, 2025","1,612.97","1,618.44","1,566.69","1,587.51","1,587.51","7,642,784,469"
