Symbol,Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
USDT-USD,"Sep 16, 2024",1.0001,1.0017,0.9995,0.9999,0.9999,"52,359,857,999"
USDT-USD,"Sep 15, 2024",1.0002,1.0011,0.9998,1.0001,1.0001,"33,574,816,326"
USDT-USD,"Sep 14, 2024",1.0007,1.0022,1.0000,1.0002,1.0002,"31,284,959,922"
USDT-USD,"Sep 13, 2024",1.0000,1.0017,0.9996,1.0008,1.0008,"50,561,943,685"
USDT-USD,"Sep 12, 2024",1.0001,1.0015,0.9994,1.0000,1.0000,"49,496,227,393"
USDT-USD,"Sep 11, 2024",1.0000,1.0016,0.9993,1.0001,1.0001,"53,910,355,372"
USDT-USD,"Sep 10, 2024",1.0002,1.0013,0.9996,1.0000,1.0000,"44,958,459,857"
USDT-USD,"Sep 9, 2024",1.0001,1.0017,0.9996,1.0001,1.0001,"53,645,369,813"
USDT-USD,"Sep 8, 2024",0.9999,1.0013,0.9996,0.9999,0.9999,"32,754,298,136"
USDT-USD,"Sep 7, 2024",0.9998,1.0015,0.9995,0.9998,0.9998,"34,349,157,560"
USDT-USD,"Sep 6, 2024",0.9997,1.0013,0.9986,0.9997,0.9997,"76,063,648,537"
USDT-USD,"Sep 5, 2024",1.0000,1.0015,0.9993,0.9998,0.9998,"47,219,392,114"
USDT-USD,"Sep 4, 2024",0.9997,1.0015,0.9995,1.0000,1.0000,"57,499,396,611"
USDT-USD,"Sep 3, 2024",0.9999,1.0010,0.9994,0.9998,0.9998,"43,284,063,635"
USDT-USD,"Sep 2, 2024",1.0000,1.0017,0.9996,0.9999,0.9999,"45,617,837,521"
USDT-USD,"Sep 1, 2024",0.9999,1.0017,0.9992,1.0000,1.0000,"40,816,634,044"
USDT-USD,"Aug 31, 2024",1.0000,1.0011,0.9996,0.9999,0.9999,"24,536,311,364"
USDT-USD,"Aug 30, 2024",1.0001,1.0019,0.9994,0.9999,0.9999,"53,462,688,174"
USDT-USD,"Aug 29, 2024",1.0002,1.0024,0.9998,1.0002,1.0002,"51,557,558,279"
USDT-USD,"Aug 28, 2024",1.0003,1.0019,0.9993,1.0001,1.0001,"69,866,785,923"
USDT-USD,"Aug 27, 2024",1.0002,1.0021,0.9994,1.0003,1.0003,"65,120,597,214"
USDT-USD,"Aug 26, 2024",1.0005,1.0019,1.0000,1.0002,1.0002,"51,030,197,598"
